SBO PN,Name of Material,Specification and Type,Description,Manufacturer PN,Manufacturer,Quantity,PCB Footprint,Part Reference,State,Part number
,,,,,,1,test,A1V8,,
,,,,,,1,test,A2V5,,
,,,,,,1,test,A3V3,,
,,,,,,1,test,AGND1,,
,,,,,,1,test,D1V0,,
,,,,,,1,test,D1V2,,
,,,,,,1,test,D1V8,,
,,,,,,1,test,D2V5,,
,,,,,,1,test,D3V3,,
,,,,,,1,test,DGND1,,
,,,,,,1,R0603,R8,,
,,,,,,1,R0603,R34,,
,,,,,,1,R0603,R54,,
,,,,,,1,R0603,R56,,
,,,,,,1,R0603,R58,,
CE270100139,IO扩展芯片,IC PCA9535APW,16位IO扩展芯片 -40°C ~ 85°C  MSL：1,PCA9535APW,NXP,1,TSSOP24,U22,B,CE270100139
CE270100191,ADC,IC AD9648BCPZ-105,14bit/105M采样/双通道ADC 2路 14bit 125MSPS SPI -55~125℃     MSL：3,AD9648BCPZ-105,ADI,1,QFN64,U28,A1,CE270100191
CE270100352,DC/DC,IC LTC3370EUH#PBF,4路共8A DCDC电源芯片 2.5~5.5V -40~125C     MSL：1,LTC3370EUH#PBF,Linear Technology,1,LTC3370,U5,B,CE270100352
CE270100357,USB3.0 PHY,IC CYUSB3014-BZXI,USB3.0 PHY芯片  1.15-6V -40~85C     MSL：3,CYUSB3014-BZXI,Cypress,1,BGA-121,U21,B,CE270100357
CE270100366,复位芯片,IC MAX809SN293D2T1G,2.93V复位芯片 20 ~66ms  2.93V 20ms -40°C ~ 105°C     MSL：1,MAX809SN293D2T1G,ON Semiconductor,1,SOT-23,U23,B,CE270100366
CE270150429,稳压器,IC LT1763IS8,输入电压2.3-20V输出电压1.22-20V稳压器 最大输出电流500mA,LT1763IS8,LT,3,SOIC8,U3 U4 U7,B,CE270100015
CE270150551,隔离芯片,IC Si8640BD-B-IS,四通道数字隔离芯片,Si8640BD-B-IS,Silicon Labs,7,SOIC16_W,U13 U14 U15 U16 U17 U18 U19,B,CE270100228
CE270150609,保护芯片,IC NCP360SNT1G,USB过压保护芯片     MSL：1,NCP360SNT1G,ON Semiconductor,1,TSOP-5,U26,B,CE270100362
CE270150625,隔离芯片,IC ADuM141E1BRWZ,3进1出隔离     MSL：1,ADuM141E1BRWZ,ADI,1,SOIC16_W,U20,B,CE270100393
CE270150782,LDO,IC LT1761IS5-3.3#PBF,1.8V-20V输入范围，3.3V 100mA输出LDO，-40度-125度,LT1761IS5-3.3#PBF,AD,1,TSOT-23,U2,B,CE270150782
CE270150783,隔离转换器,IC LT3999IMSE#PBF,2.7V-36V输入范围，推挽式隔离转换器，-40度-125度,LT3999IMSE#PBF,AD,1,MSOP10-1,U1,B,CE270150783
CE270150819,FPGA,IC XC7A100T-2FGG676I,Artix-7 FPGA  temp:-40°C ~ 100°C  package:676-BGA IO:300,XC7A100T-2FGG676,Xilinx,1,FG676,U12,B,CE270150819
CE270150834,ADC,IC AD9231BCPZ-65-ND,12bit 1.8V 65MSPS双通道 低功耗,AD9231BCPZ-65-ND,ADI,1,QFN64,U27,B,CE270150834
CE270150835,运放,IC THS4552IPWR,"双通道全查分运放,SR:220 V/?s ;135MHz;  2.7 V ~ 5.4 V ;-40°C ~ 125°C",THS4552IPWR,TI,1,TSSOP16,U8,B,CE270150835
CE270150836,EEPROM,IC AT24CM02-SSHM-B,2Mb EEPROM -40°C ~ 85°C I2C,AT24CM02-SSHM-B,Microchip Technology,2,SOIC8,U24 U25,B,CE270150836
